"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","04 Oct 2024","23704.95","23920.3","23483.4","23534.95"
"NIFTY 500","03 Oct 2024","23931.85","24122","23713","23755.45"
"NIFTY 500","01 Oct 2024","24248.5","24329.45","24191.05","24271.30"
"NIFTY 500","30 Sep 2024","24410","24456.1","24217.4","24245.20"
"NIFTY 500","27 Sep 2024","24529.55","24573.4","24469","24489.55"
"NIFTY 500","26 Sep 2024","24399.15","24512.65","24338.4","24496.90"
"NIFTY 500","25 Sep 2024","24377.25","24394.35","24268.5","24371.25"
"NIFTY 500","24 Sep 2024","24390.05","24429","24353.75","24389.70"
"NIFTY 500","23 Sep 2024","24294.8","24393.7","24262.3","24379.20"
"NIFTY 500","20 Sep 2024","23956.55","24243.15","23885","24193.80"
"NIFTY 500","19 Sep 2024","24012.3","24078","23702","23853.95"
"NIFTY 500","18 Sep 2024","23972.55","24000.3","23800.85","23898.65"
"NIFTY 500","17 Sep 2024","24008.25","24008.25","23912.55","23969.90"
"NIFTY 500","16 Sep 2024","24006.15","24026","23917.5","23968.20"
"NIFTY 500","13 Sep 2024","23966.5","23966.55","23885.2","23928.20"
"NIFTY 500","12 Sep 2024","23680","23934.6","23593.6","23907.35"
"NIFTY 500","11 Sep 2024","23665.1","23723.05","23498.15","23531.25"
"NIFTY 500","10 Sep 2024","23591.85","23712.95","23531.65","23643.65"
"NIFTY 500","09 Sep 2024","23452.85","23526.55","23294.45","23502.15"
"NIFTY 500","06 Sep 2024","23746","23794.35","23434.9","23477.70"
"NIFTY 500","05 Sep 2024","23821","23836.35","23749.05","23762.80"
"NIFTY 500","04 Sep 2024","23611.8","23761.4","23605.35","23748.90"
"NIFTY 500","03 Sep 2024","23817","23817.55","23771.2","23788.45"
"NIFTY 500","02 Sep 2024","23835.2","23835.2","23693.65","23760.70"
"NIFTY 500","30 Aug 2024","23728.55","23766.4","23673.95","23734.55"
"NIFTY 500","29 Aug 2024","23618.25","23664.35","23494.45","23631.40"
"NIFTY 500","28 Aug 2024","23646.8","23679.35","23547.25","23615.95"
"NIFTY 500","27 Aug 2024","23592","23633.2","23555.55","23604.85"
"NIFTY 500","26 Aug 2024","23514.3","23579.75","23466.75","23561.75"
"NIFTY 500","23 Aug 2024","23485.3","23496.85","23401","23418.65"
"NIFTY 500","22 Aug 2024","23467.15","23474.85","23408.95","23440.70"
"NIFTY 500","21 Aug 2024","23283.75","23383.2","23256.25","23368.65"
"NIFTY 500","20 Aug 2024","23223.6","23292.7","23175.4","23280.35"
"NIFTY 500","19 Aug 2024","23174.2","23195.6","23104.1","23139.75"
"NIFTY 500","16 Aug 2024","22846.1","23071.75","22750.3","23056.50"
"NIFTY 500","14 Aug 2024","22765.65","22778.95","22599.95","22672.65"
