Date,Price,Change 
2016-05-02,41217.00,-0.84
2016-05-03,40984.00,-0.57
2016-05-04,40739.00,-0.60
2016-05-05,40915.00,0.43
2016-05-06,41731.00,1.99
2016-05-09,40749.00,-2.35
2016-05-10,40839.00,0.22
2016-05-11,41266.00,1.05
2016-05-12,40803.00,-1.12
2016-05-13,40974.00,0.42
2016-05-16,40987.00,0.03
2016-05-17,41180.00,0.47
2016-05-18,41048.00,-0.32
2016-05-19,39824.00,-2.98
2016-05-20,39834.00,0.03
2016-05-23,39665.00,-0.42
2016-05-24,39337.00,-0.83
2016-05-25,39229.00,-0.27
2016-05-26,39051.00,-0.45
2016-05-27,38866.00,-0.47
2016-05-30,38577.00,-0.74
2016-05-31,38400.00,-0.46
2016-06-01,38460.00,0.16
2016-06-02,38528.00,0.18
2016-06-03,39079.00,1.43
2016-06-06,39142.00,0.16
2016-06-07,39010.00,-0.34
2016-06-08,40254.00,3.19
2016-06-09,40909.00,1.63
2016-06-10,41068.00,0.39
2016-06-13,41447.00,0.92
2016-06-14,41519.00,0.17
2016-06-15,41547.00,0.07
2016-06-16,41684.00,0.33
2016-06-17,41362.00,-0.77
2016-06-20,41795.00,1.05
2016-06-21,41355.00,-1.05
2016-06-22,41193.00,-0.39
2016-06-23,41190.00,-0.01
2016-06-24,42392.00,2.92
2016-06-27,42289.00,-0.24
2016-06-28,42346.00,0.13
2016-06-29,43202.00,2.02
2016-06-30,43467.00,0.61
2016-07-01,45559.00,4.81
2016-07-04,47465.00,4.18
2016-07-05,46514.00,-2.00
2016-07-06,47788.00,2.74
2016-07-07,46893.00,-1.87
2016-07-08,47487.00,1.27
2016-07-11,47812.00,0.68
2016-07-12,47342.00,-0.98
2016-07-13,47830.00,1.03
2016-07-14,47509.00,-0.67
2016-07-15,47275.00,-0.49
2016-07-18,47167.00,-0.23
2016-07-19,47024.00,-0.30
2016-07-20,46072.00,-2.02
2016-07-21,46621.00,1.19
2016-07-22,46321.00,-0.64
2016-07-25,46473.00,0.33
2016-07-26,46404.00,-0.15
2016-07-27,47019.00,1.33
2016-07-28,47362.00,0.73
2016-07-29,47480.00,0.25
2016-08-01,47717.00,0.50
2016-08-02,48071.00,0.74
2016-08-03,47671.00,-0.83
2016-08-04,47677.00,0.01
2016-08-05,46225.00,-3.05
2016-08-08,46287.00,0.13
2016-08-09,46372.00,0.18
2016-08-10,47115.00,1.60
2016-08-11,46755.00,-0.76
2016-08-12,46125.00,-1.35
2016-08-16,46336.00,0.46
2016-08-17,45886.00,-0.97
2016-08-18,46094.00,0.45
2016-08-19,45444.00,-1.41
2016-08-22,44516.00,-2.04
2016-08-23,44496.00,-0.04
2016-08-24,43766.00,-1.64
2016-08-25,43659.00,-0.24
2016-08-26,43977.00,0.73
2016-08-29,44367.00,0.89
2016-08-30,43980.00,-0.87
2016-08-31,43988.00,0.02
2016-09-01,44298.00,0.70
2016-09-02,45480.00,2.67
2016-09-05,46465.00,2.17
2016-09-06,47607.00,2.46
2016-09-07,47013.00,-1.25
2016-09-08,46714.00,-0.64
2016-09-09,46194.00,-1.11
2016-09-12,45447.00,-1.62
2016-09-13,45501.00,0.12
2016-09-14,45605.00,0.23
2016-09-15,45638.00,0.07
2016-09-16,45273.00,-0.80
2016-09-19,46041.00,1.70
2016-09-20,46138.00,0.21
2016-09-21,47169.00,2.23
2016-09-22,47568.00,0.85
2016-09-23,46817.00,-1.58
2016-09-26,46501.00,-0.67
2016-09-27,45494.00,-2.17
2016-09-28,45583.00,0.20
2016-09-29,45834.00,0.55
2016-09-30,45726.00,-0.24
2016-10-03,44893.00,-1.82
2016-10-04,42881.00,-4.48
2016-10-05,42615.00,-0.62
2016-10-06,41521.00,-2.57
2016-10-07,41865.00,0.83
2016-10-10,42210.00,0.82
2016-10-11,41998.00,-0.50
2016-10-12,42051.00,0.13
2016-10-13,41890.00,-0.38
2016-10-14,41821.00,-0.16
2016-10-17,41871.00,0.12
